a,a:一|d:一道
a adjoin,n:毗连
a bad accident,n:横事
a bad crop,n:欠产
a bad lot,n:狐群狗党
a bad plan,n:下策
a bad reputation,n:恶名
a bad year,n:凶年
a ball,n:圆球
a band of,n:帮
a bare outline,n:空架子
a barrage of,n:一连串
a base person,n:小人
a beach swimmer,n:弄潮儿
a beaming countenance,n:眉开眼笑
a beau,n:翩翩少年
a beautiful gem,n:瑾
a beautiful night,n:月白风清
a beauty,n:红颜
a beloved daughter,n:掌上明珠
a benign countenance,n:和颜悦色
a benign face,n:慈眉善目
a benignant look,n:慈眉善目
a bicycle lamp,n:车灯
a big amount,n:巨额
a big dispute,n:轩然大波
a big eater,n:大肚子
a big fortune,n:洋财
a big talk,n:夸夸其谈
a big tripod,n:鼐
a billion,n:秭
a bird trap,n:莩
a bird's sternum,n:龙骨
a bit,"a:差,点滴,了,稍稍,些小,一点,一丁点儿,稍许,点,一点儿,一星儿,丝毫,些微"
a bit chilly,a:冷丝丝
a bit cool,n:凉丝丝
a bit of,"n:略微,一点儿,一星半点,少许,一点"
a bit off,n:不是味儿
a bitter enemy,"n:夙世冤家,冤家对头"
a black sheep,n:害群之马
a blind alley,n:死胡同
a blind letter,n:死信
a blind person,"n:瞍,瞎子"
a blind shell,n:瞎炮
a block,n:一块
a block of,n:一块
a blood feud,"n:血海深仇,血仇"
a blooming girl,n:豆蔻年华
a bony appearance,n:瘦骨嶙峋
a bookbinding method,n:旋风装
a bookish approach,n:书生气
a boor,n:莽汉
a boorish fellow,n:莽汉
a boorish person,n:莽汉
a born commander,n:帅才
a bottomless chasm,n:万丈深渊
a bottomless pit,n:无底洞
a bout,n:一条
a bowing acquaintance,n:点头之交
a boxing champion,n:拳王
a branch college,n:分院
a branch school,n:分校
a brief survey,n:一瞥
a bright mind,n:慧心
a brilliant student,n:高才生
a brisk trade,n:购销两旺
a broad road,n:阳关大道
a broadcast exhibition,n:展播
a broken-down nag,n:骀
a broken-down tall,n:烂摊子
a brute,n:衣冠禽兽
a budding beauty,n:豆蔻年华
a bunch of,n:班
a burst of,n:阵
a burst seam,n:破绽
a business associate,n:伙计
a call,n:拜访
a callow,n:黄口孺子
a car dealer's,n:车行
a card of,n:板
a careless person,n:马大哈
a carton,n:一条
a castrated bull,n:犍
a catch question,n:偏题
a century,n:百年
a certain person,n:某人
a chair cushion,n:椅垫子
a chance acquaintance,n:萍水相逢
a changeable situation,n:风云变幻
a chaotic state,n:一团糟
a chartered accountant,n:会计师
a chatterbox,"n:碎嘴子,摇唇鼓舌"
a cheap article,n:便宜货
a check,n:汇单
a cheval,n:跨
a children's toy,n:尜
a cipher,n:无名小卒
a civilian worker,n:民工
a class adviser,n:班主任
a class of,n:班
a clean cut,n:一刀切
a clearance sale,n:甩卖
a close shave,"n:幸免于难,天幸"
a cloud of,n:大量
a clown,n:跳梁小丑
a cock-and-bull story,"n:无稽之谈,不经之谈"
a cold reception,n:冷板凳
a cold welcome,n:冷遇
a coldhearted person,n:冷血动物
a common meal,n:家常便饭
a common person,n:碌碌庸才
a common-law marriage,n:同居
a compelling obligation,n:义不容辞
a complete bankruptcy,n:民穷财尽
a complete change,n:面目全非
a complicated affair,n:盘根错节
a complimentary ticket,n:赠券
a concealed analogy,n:暗喻
a confession,n:口供
a confidential paper,n:密件
a connected sequence,n:一条龙
a conquered nation,n:亡国
a contemptible rebel,n:跳梁小丑
a contemptible wretch,n:小丑
a continuous flow,n:川流不息
a coordinated process,n:一条龙
a corner,n:一角
a cotton wadding,n:棉絮
a cotton-padded covering,n:棉套
a course,n:番
a course of,n:一系列
a coward,n:软骨头
a cowboy,n:牛郎
a cozy nest,n:安乐窝
a crisis,n:轩然大波
a critical situation,n:危局
a crop of,"n:许多,一派"
a crossfire,n:内外夹攻
a crucial moment,n:火候
a crushing blow,n:雷霆万钧
a crushing defeat,n:一败如水
a cunning person,n:滑头滑脑
a curious coincidence,n:神差鬼使
a curious tale,n:海外奇谈
a cute abdomen,n:急腹症
a cute disease,n:急症
a dab hand,n:巧手
a dance squad,n:佾
a dandy,n:翩翩少年
a dangerous road,n:畏途
a dangerous section,n:险工
a dangerous situation,n:险地
a daring robbery,n:明火执仗
a dark horse,n:异军突起
a dark house,n:黑马
a dash of,n:少许
a day,n:一天
a dead person,n:异物
a deaf person,n:聋子
a deafening noise,n:震耳欲聋
a deep slumber,n:昏睡
a deep sorrow,n:切肤之痛
a deep-seated hatred,n:深仇大恨
a delicate touch,"n:神来之笔,生花妙笔"
a dense crowd,n:稠人广众
a deposition,n:口供
a depositor,n:户头
a depressed place,n:坞
a desert region,n:不毛之地
a desperate situation,n:危局
a desperate way,n:血路
a detailed analysis,n:条分缕析
a devastating punch,n:雷霆万钧
a different name,n:异名
a digest,n:提纲挈领
a disastrous flood,n:泛滥成灾
a dish,n:卖
a disorderly crowd,n:乌合之众
a distressed expression,n:愁眉苦脸
a divided skirt,n:裙裤
a divine plan,n:神机妙算
a donkey,n:狐假虎威
